state,gene,n_patients,patient_balanced_mean_log_expression,patient_balanced_pct_detected,within_gene_z,block
E-MDSC,BHLHE41,17,0.5486836166066282,43.6866571740868,-0.496023284317732,Held-out Miller-IM genes; not used for state assignment
E-MDSC,CCL3,17,2.2993760179070866,85.77420106565128,-0.9080820902526132,Held-out Miller-IM genes; not used for state assignment
E-MDSC,CCL4,17,1.934339561883141,81.65917358480957,-1.1030816789913491,Held-out Miller-IM genes; not used for state assignment
E-MDSC,CH25H,17,0.080970949931618,8.91739745354795,-1.3381772180496654,Held-out Miller-IM genes; not used for state assignment
E-MDSC,CTTNBP2,17,0.0248602398890344,3.212630331226579,-1.195924618372469,Held-out Miller-IM genes; not used for state assignment
E-MDSC,FOLR2,17,0.1260094885604784,14.363813826616749,-1.4766491611712127,Held-out Miller-IM genes; not used for state assignment
E-MDSC,GSTM3,17,0.1425606076989103,16.658000642679735,-0.6585944642496288,Held-out Miller-IM genes; not used for state assignment
E-MDSC,ITM2C,17,0.0491441209417055,7.0043234520891815,-1.3560923215863518,Held-out Miller-IM genes; not used for state assignment
E-MDSC,JUN,17,2.025019645690918,86.17027486886461,0.785546122412429,Held-out Miller-IM genes; not used for state assignment
E-MDSC,KLF2,17,0.4904397419270347,38.942354844658986,-0.9723882245463356,Held-out Miller-IM genes; not used for state assignment
E-MDSC,KLF6,17,2.6613435044008145,91.85210403722742,0.7197228489734008,Held-out Miller-IM genes; not used for state assignment
E-MDSC,NLRP3,17,0.4340535060447805,36.886911722085614,-0.953742902100062,Held-out Miller-IM genes; not used for state assignment
E-MDSC,P2RY12,17,0.030700700919089,4.094782542100356,-1.1558209737889555,Held-out Miller-IM genes; not used for state assignment
E-MDSC,P2RY13,17,0.0612589490106877,6.903401799195027,-1.2756179498907674,Held-out Miller-IM genes; not used for state assignment
E-MDSC,PDK4,17,0.4675412230631884,35.02464606854445,-0.6957005046523018,Held-out Miller-IM genes; not used for state assignment
E-MDSC,RHOB,17,1.0429998145383947,66.0453666499465,-0.1302562040054038,Held-out Miller-IM genes; not used for state assignment
E-MDSC,SGK1,17,1.8270911188686596,82.61243130681407,-0.3163374150224806,Held-out Miller-IM genes; not used for state assignment
E-MDSC,SIGLEC8,17,0.0239832898711457,3.082239685310913,-1.5377754676779676,Held-out Miller-IM genes; not used for state assignment
E-MDSC,USP53,17,0.5747185437118306,47.27909065700378,-0.8894476600288519,Held-out Miller-IM genes; not used for state assignment
M-MDSC,BHLHE41,11,0.0839300385930321,8.821974595171191,-1.7014937627574982,Held-out Miller-IM genes; not used for state assignment
M-MDSC,CCL3,11,2.575240579518405,86.2239939881245,-0.509542754020228,Held-out Miller-IM genes; not used for state assignment
M-MDSC,CCL4,11,1.7650831450115552,75.20286060509608,-1.2998857875051617,Held-out Miller-IM genes; not used for state assignment
M-MDSC,CH25H,11,0.1030700926414944,9.53528218035778,-1.2536909942748389,Held-out Miller-IM genes; not used for state assignment
M-MDSC,CTTNBP2,11,0.0064770391380245,0.8556079496785692,-1.3676730750744452,Held-out Miller-IM genes; not used for state assignment
M-MDSC,FOLR2,11,0.0659564176405018,8.032961405742288,-1.7409082774274098,Held-out Miller-IM genes; not used for state assignment
M-MDSC,GSTM3,11,0.0707055288790301,8.594552296859352,-1.5657647296637076,Held-out Miller-IM genes; not used for state assignment
M-MDSC,ITM2C,11,0.0184543422338637,2.252418942702364,-1.915273606326536,Held-out Miller-IM genes; not used for state assignment
M-MDSC,JUN,11,1.424545938318426,76.13834087886462,-0.8141242869075666,Held-out Miller-IM genes; not used for state assignment
M-MDSC,KLF2,11,0.3366498567841269,32.874762516140315,-1.5646496183294214,Held-out Miller-IM genes; not used for state assignment
M-MDSC,KLF6,11,2.6293021115389736,95.88113342493963,0.6306391153649253,Held-out Miller-IM genes; not used for state assignment
M-MDSC,NLRP3,11,0.8324455943974581,56.94398240106647,0.25715806013539,Held-out Miller-IM genes; not used for state assignment
M-MDSC,P2RY12,11,0.0142806578766215,1.6141006533619835,-1.214505282421108,Held-out Miller-IM genes; not used for state assignment
M-MDSC,P2RY13,11,0.0343699707564982,3.125049967563034,-1.3830939728376372,Held-out Miller-IM genes; not used for state assignment
M-MDSC,PDK4,11,0.2597174698656255,22.796523539884152,-1.8388882331646417,Held-out Miller-IM genes; not used for state assignment
M-MDSC,RHOB,11,0.4965091726996682,42.28176531859212,-2.11965758661206,Held-out Miller-IM genes; not used for state assignment
M-MDSC,SGK1,11,1.4318801272999158,77.89584957562616,-2.441900037979423,Held-out Miller-IM genes; not used for state assignment
M-MDSC,SIGLEC8,11,0.0103176720017059,1.224886076481751,-1.6333967106166265,Held-out Miller-IM genes; not used for state assignment
M-MDSC,USP53,11,0.4244070895524187,36.12154949113896,-1.3135251821011942,Held-out Miller-IM genes; not used for state assignment
MAC1,BHLHE41,3,0.8661335905392965,66.62464985994399,0.3273734361398133,Held-out Miller-IM genes; not used for state assignment
MAC1,CCL3,3,3.0051724116007485,93.61811391223156,0.1115763414607214,Held-out Miller-IM genes; not used for state assignment
MAC1,CCL4,3,3.108918825785319,93.36134453781511,0.2626687556669709,Held-out Miller-IM genes; not used for state assignment
MAC1,CH25H,3,0.8848198552926382,52.48366013071895,1.734980840209696,Held-out Miller-IM genes; not used for state assignment
MAC1,CTTNBP2,3,0.144978587826093,17.26890756302521,-0.0736967126228449,Held-out Miller-IM genes; not used for state assignment
MAC1,FOLR2,3,0.5914231240749359,47.18020541549953,0.5713692687026517,Held-out Miller-IM genes; not used for state assignment
MAC1,GSTM3,3,0.1436043183008829,17.647058823529413,-0.6454176194203249,Held-out Miller-IM genes; not used for state assignment
MAC1,ITM2C,3,0.1897116253773371,24.267040149393093,1.205109519303871,Held-out Miller-IM genes; not used for state assignment
MAC1,JUN,3,1.6310430367787678,82.24089635854342,-0.2640131097456756,Held-out Miller-IM genes; not used for state assignment
MAC1,KLF2,3,0.9361671209335328,66.84873949579831,0.7441558673642784,Held-out Miller-IM genes; not used for state assignment
MAC1,KLF6,3,2.272354682286581,90.28944911297852,-0.3617712282446956,Held-out Miller-IM genes; not used for state assignment
MAC1,NLRP3,3,0.789957786599795,54.430438842203536,0.1280176257502565,Held-out Miller-IM genes; not used for state assignment
MAC1,P2RY12,3,0.3256005495786667,26.900093370681603,-0.1018655310684402,Held-out Miller-IM genes; not used for state assignment
MAC1,P2RY13,3,0.4824801286061604,43.04388422035481,0.4080152746947411,Held-out Miller-IM genes; not used for state assignment
MAC1,PDK4,3,0.5949627806742986,41.08309990662932,0.0052143752289912,Held-out Miller-IM genes; not used for state assignment
MAC1,RHOB,3,1.039753556251526,76.75070028011204,-0.1420736263540578,Held-out Miller-IM genes; not used for state assignment
MAC1,SGK1,3,1.957878867785136,91.65732959850608,0.3870781188776793,Held-out Miller-IM genes; not used for state assignment
MAC1,SIGLEC8,3,0.3126782476902008,38.57142857142857,0.4822847272229391,Held-out Miller-IM genes; not used for state assignment
MAC1,USP53,3,0.6965336551268896,52.819794584500464,-0.5457675932717448,Held-out Miller-IM genes; not used for state assignment
MAC2,BHLHE41,12,0.420939452946186,41.16392058188372,-0.8273640751596609,Held-out Miller-IM genes; not used for state assignment
MAC2,CCL3,12,3.622702181339264,97.35652963972414,1.003716684162965,Held-out Miller-IM genes; not used for state assignment
MAC2,CCL4,12,3.670595904191335,96.77821429291494,0.9157627932904032,Held-out Miller-IM genes; not used for state assignment
MAC2,CH25H,12,0.3512383745983243,27.571187696096164,-0.3049301632110819,Held-out Miller-IM genes; not used for state assignment
MAC2,CTTNBP2,12,0.098418942031761,11.917108396715362,-0.5086888240661072,Held-out Miller-IM genes; not used for state assignment
MAC2,FOLR2,12,0.684623065094153,50.4814294460704,0.9814887458845456,Held-out Miller-IM genes; not used for state assignment
MAC2,GSTM3,12,0.1030166521668434,14.22039943221736,-1.1578368452297003,Held-out Miller-IM genes; not used for state assignment
MAC2,ITM2C,12,0.1245493772439658,16.937178796857292,0.0178246589387243,Held-out Miller-IM genes; not used for state assignment
MAC2,JUN,12,1.3641719271739323,78.33832469779047,-0.9749615024825886,Held-out Miller-IM genes; not used for state assignment
MAC2,KLF2,12,0.6681197608510653,54.67405482587899,-0.288123355256885,Held-out Miller-IM genes; not used for state assignment
MAC2,KLF6,12,2.741017162799835,96.7616435156844,0.9412371567638038,Held-out Miller-IM genes; not used for state assignment
MAC2,NLRP3,12,1.225077400604884,76.9792641201321,1.4505508152644335,Held-out Miller-IM genes; not used for state assignment
MAC2,P2RY12,12,0.0829923722582558,12.14437984446321,-0.968933486842538,Held-out Miller-IM genes; not used for state assignment
MAC2,P2RY13,12,0.3602989638845126,38.7760624448299,-0.0803463707037091,Held-out Miller-IM genes; not used for state assignment
MAC2,PDK4,12,0.5690841277440389,43.559454272451696,-0.1371377765588715,Held-out Miller-IM genes; not used for state assignment
MAC2,RHOB,12,0.887788953880469,68.1868069174455,-0.6952735659670546,Held-out Miller-IM genes; not used for state assignment
MAC2,SGK1,12,2.0145852863788605,93.25427257067388,0.6920621563057112,Held-out Miller-IM genes; not used for state assignment
MAC2,SIGLEC8,12,0.2264644602934519,28.5477667469716,-0.12097153151982,Held-out Miller-IM genes; not used for state assignment
MAC2,USP53,12,0.9529895360271136,68.59407167996274,0.1777778950029211,Held-out Miller-IM genes; not used for state assignment
MCG1,BHLHE41,18,0.857547887497478,65.54858387735712,0.3051039754122621,Held-out Miller-IM genes; not used for state assignment
MCG1,CCL3,18,4.461465603775448,95.305776877557,2.215471523861105,Held-out Miller-IM genes; not used for state assignment
MCG1,CCL4,18,4.590370741155413,95.2794952099754,1.9852375592574043,Held-out Miller-IM genes; not used for state assignment
MCG1,CH25H,18,0.744996058444182,48.54540954428353,1.2004268647604563,Held-out Miller-IM genes; not used for state assignment
MCG1,CTTNBP2,18,0.1678752902533031,21.24328868358803,0.1402199691727163,Held-out Miller-IM genes; not used for state assignment
MCG1,FOLR2,18,0.4852252445287174,43.63743716572845,0.1040533202049977,Held-out Miller-IM genes; not used for state assignment
MCG1,GSTM3,18,0.2981997508969571,32.067514547881444,1.306349491872349,Held-out Miller-IM genes; not used for state assignment
MCG1,ITM2C,18,0.1447131133948763,21.972670378652055,0.3852168123121597,Held-out Miller-IM genes; not used for state assignment
MCG1,JUN,18,1.6611624028947618,83.18521334423878,-0.1837746944217841,Held-out Miller-IM genes; not used for state assignment
MCG1,KLF2,18,0.918851140472624,64.36332262769461,0.6774701636005457,Held-out Miller-IM genes; not used for state assignment
MCG1,KLF6,18,2.777380585670471,94.72595028225332,1.0423373021310165,Held-out Miller-IM genes; not used for state assignment
MCG1,NLRP3,18,1.2938173992766275,77.40390681365422,1.6594840068844237,Held-out Miller-IM genes; not used for state assignment
MCG1,P2RY12,18,0.4581248557402028,44.29605120100694,0.3717688719554373,Held-out Miller-IM genes; not used for state assignment
MCG1,P2RY13,18,0.3506335988640785,39.547376844449296,-0.1189791139379819,Held-out Miller-IM genes; not used for state assignment
MCG1,PDK4,18,0.500888834396998,42.22784242119563,-0.5122634361485404,Held-out Miller-IM genes; not used for state assignment
MCG1,RHOB,18,1.2422252429856195,75.48864753718397,0.594988315223299,Held-out Miller-IM genes; not used for state assignment
MCG1,SGK1,18,2.0668927431106567,90.82717469035585,0.9733872644200292,Held-out Miller-IM genes; not used for state assignment
MCG1,SIGLEC8,18,0.2531243254327112,34.280765934470224,0.0655732310769629,Held-out Miller-IM genes; not used for state assignment
MCG1,USP53,18,0.982751385619243,68.78115032421071,0.2617457569193825,Held-out Miller-IM genes; not used for state assignment
MCG2,BHLHE41,20,0.7702102839946747,54.70380905738993,0.0785690810919285,Held-out Miller-IM genes; not used for state assignment
MCG2,CCL3,20,3.0775278210639954,87.92189423446361,0.2161076255512609,Held-out Miller-IM genes; not used for state assignment
MCG2,CCL4,20,3.397168445587158,89.34773956821451,0.5978330614172586,Held-out Miller-IM genes; not used for state assignment
MCG2,CH25H,20,0.5820157069712877,38.678986074962424,0.5773441223115843,Held-out Miller-IM genes; not used for state assignment
MCG2,CTTNBP2,20,0.1922718185931444,19.12528177346004,0.3681490522527436,Held-out Miller-IM genes; not used for state assignment
MCG2,FOLR2,20,0.4494903359562158,37.564648240380855,-0.0531955134383118,Held-out Miller-IM genes; not used for state assignment
MCG2,GSTM3,20,0.2705744294449687,26.194364934042323,0.9575798487888038,Held-out Miller-IM genes; not used for state assignment
MCG2,ITM2C,20,0.1516616534441709,19.26053669100397,0.511822272352195,Held-out Miller-IM genes; not used for state assignment
MCG2,JUN,20,1.6687998473644257,76.09313430545129,-0.16342843484215,Held-out Miller-IM genes; not used for state assignment
MCG2,KLF2,20,1.2469963401556017,64.97530012938245,1.941192632388876,Held-out Miller-IM genes; not used for state assignment
MCG2,KLF6,20,2.635022020339966,89.26132027483202,0.6465420080415796,Held-out Miller-IM genes; not used for state assignment
MCG2,NLRP3,20,0.8233383476734162,56.444562981467314,0.2294768532443145,Held-out Miller-IM genes; not used for state assignment
MCG2,P2RY12,20,0.4141614276915789,36.707306636165,0.2146460572672987,Held-out Miller-IM genes; not used for state assignment
MCG2,P2RY13,20,0.3447122424840927,32.95813181840935,-0.1426469464660845,Held-out Miller-IM genes; not used for state assignment
MCG2,PDK4,20,0.5586168870329857,39.09111897665621,-0.194715512251507,Held-out Miller-IM genes; not used for state assignment
MCG2,RHOB,20,1.3442888915538789,70.60254894207804,0.966532762704424,Held-out Miller-IM genes; not used for state assignment
MCG2,SGK1,20,1.9985300660133365,83.24353195099924,0.6057123911414513,Held-out Miller-IM genes; not used for state assignment
MCG2,SIGLEC8,20,0.2873739011585712,31.67697635421453,0.3052248174389873,Held-out Miller-IM genes; not used for state assignment
MCG2,USP53,20,0.8742867216467858,58.56786082955089,-0.0442683534960928,Held-out Miller-IM genes; not used for state assignment
MCG3,BHLHE41,5,1.5751621723175049,75.28704016338766,2.1664405550133807,Held-out Miller-IM genes; not used for state assignment
MCG3,CCL3,5,2.2131924986839295,82.13690708844256,-1.0325907344392569,Held-out Miller-IM genes; not used for state assignment
MCG3,CCL4,5,2.2298493146896363,81.66264812881354,-0.7594756016965469,Held-out Miller-IM genes; not used for state assignment
MCG3,CH25H,5,0.4107915222644805,20.38143032798346,-0.0772552426826244,Held-out Miller-IM genes; not used for state assignment
MCG3,CTTNBP2,5,0.394198077917099,27.692154148354895,2.2546825170296496,Held-out Miller-IM genes; not used for state assignment
MCG3,FOLR2,5,0.3988213390111923,29.20697715787851,-0.276160703213907,Held-out Miller-IM genes; not used for state assignment
MCG3,GSTM3,5,0.2952901318669319,21.64028440683935,1.269615555857355,Held-out Miller-IM genes; not used for state assignment
MCG3,ITM2C,5,0.1934133291244507,14.678458299257285,1.2725561919157402,Held-out Miller-IM genes; not used for state assignment
MCG3,JUN,5,2.6605737686157225,80.4475202908032,2.478671252591455,Held-out Miller-IM genes; not used for state assignment
MCG3,KLF2,5,0.719773817062378,45.40140054407651,-0.0891980273796065,Held-out Miller-IM genes; not used for state assignment
MCG3,KLF6,5,1.6581249713897706,79.10716906368687,-2.0694958635587755,Held-out Miller-IM genes; not used for state assignment
MCG3,NLRP3,5,0.2959326535463333,23.345266021233048,-1.3735571456175977,Held-out Miller-IM genes; not used for state assignment
MCG3,P2RY12,5,0.9693780899047852,58.24957842531899,2.198959123850901,Held-out Miller-IM genes; not used for state assignment
MCG3,P2RY13,5,0.9127822637557984,55.23924425364773,2.1279453409933367,Held-out Miller-IM genes; not used for state assignment
MCG3,PDK4,5,0.9479042649269104,51.23768522445939,1.946659313416396,Held-out Miller-IM genes; not used for state assignment
MCG3,RHOB,5,1.4972248554229737,70.1087594954793,1.5232687700178769,Held-out Miller-IM genes; not used for state assignment
MCG3,SGK1,5,1.99568076133728,85.12206879993816,0.5903879805100538,Held-out Miller-IM genes; not used for state assignment
MCG3,SIGLEC8,5,0.4987245261669158,34.950336676036464,1.7840902190799062,Held-out Miller-IM genes; not used for state assignment
MCG3,USP53,5,1.705102288722992,81.09054879052161,2.2997327005496206,Held-out Miller-IM genes; not used for state assignment
MCG4,BHLHE41,12,0.6283690966665745,45.71284917526649,-0.2893363467300116,Held-out Miller-IM genes; not used for state assignment
MCG4,CCL3,12,2.2925323645273843,86.42528576060401,-0.9179690618136576,Held-out Miller-IM genes; not used for state assignment
MCG4,CCL4,12,2.4052414695421853,90.11296680825676,-0.5555371199888723,Held-out Miller-IM genes; not used for state assignment
MCG4,CH25H,12,0.2162085849170883,20.402769512688874,-0.8211563886826323,Held-out Miller-IM genes; not used for state assignment
MCG4,CTTNBP2,12,0.1468237744023402,16.391623148106508,-0.0564577153943426,Held-out Miller-IM genes; not used for state assignment
MCG4,FOLR2,12,0.8031634613871574,57.80939862085873,1.503117030419589,Held-out Miller-IM genes; not used for state assignment
MCG4,GSTM3,12,0.2143236072733998,21.79988864427453,0.2474133008255438,Held-out Miller-IM genes; not used for state assignment
MCG4,ITM2C,12,0.1181062875936428,16.804226329394776,-0.0995712722167909,Held-out Miller-IM genes; not used for state assignment
MCG4,JUN,12,1.4751396079858143,75.89709513729082,-0.6793420387056043,Held-out Miller-IM genes; not used for state assignment
MCG4,KLF2,12,0.5385302354892095,47.78452153704023,-0.787186559830978,Held-out Miller-IM genes; not used for state assignment
MCG4,KLF6,12,2.0518588771422706,85.92714668886015,-0.9748091711318488,Held-out Miller-IM genes; not used for state assignment
MCG4,NLRP3,12,0.4053793773055076,40.57017210856378,-1.0408970677995355,Held-out Miller-IM genes; not used for state assignment
MCG4,P2RY12,12,0.4600211797902981,35.230721861894935,0.378546227260448,Held-out Miller-IM genes; not used for state assignment
MCG4,P2RY13,12,0.5774129951993624,48.258434464927745,0.787464685227602,Held-out Miller-IM genes; not used for state assignment
MCG4,PDK4,12,0.735150434076786,51.765616556010436,0.7763524313602194,Held-out Miller-IM genes; not used for state assignment
MCG4,RHOB,12,0.9597051739692688,68.1766740383608,-0.4334754367344517,Held-out Miller-IM genes; not used for state assignment
MCG4,SGK1,12,1.745047152042389,84.44897972774622,-0.7575943462450188,Held-out Miller-IM genes; not used for state assignment
MCG4,SIGLEC8,12,0.2426102093110481,24.368839927378463,-0.0079962819564076,Held-out Miller-IM genes; not used for state assignment
MCG4,USP53,12,1.122743879755338,73.10820843339663,0.6567101350764859,Held-out Miller-IM genes; not used for state assignment
MCG5,BHLHE41,10,0.90829476416111,69.45923279647265,0.4367304213075156,Held-out Miller-IM genes; not used for state assignment
MCG5,CCL3,10,2.804254937171936,91.92689760737582,-0.1786875345102941,Held-out Miller-IM genes; not used for state assignment
MCG5,CCL4,10,2.845587193965912,91.27014112717411,-0.0435219814501046,Held-out Miller-IM genes; not used for state assignment
MCG5,CH25H,10,0.5048821076750756,41.340684357864475,0.2824581796191039,Held-out Miller-IM genes; not used for state assignment
MCG5,CTTNBP2,10,0.1998970733955502,22.970886942729184,0.4393894070750987,Held-out Miller-IM genes; not used for state assignment
MCG5,FOLR2,10,0.5494990095496177,47.979599274982526,0.3868852900390591,Held-out Miller-IM genes; not used for state assignment
MCG5,GSTM3,10,0.2142635803669691,25.610552746675033,0.2466554612193101,Held-out Miller-IM genes; not used for state assignment
MCG5,ITM2C,10,0.1223860424011945,19.114798870416895,-0.0215922546930104,Held-out Miller-IM genes; not used for state assignment
MCG5,JUN,10,1.6608626246452332,86.59600434636647,-0.1845733078985124,Held-out Miller-IM genes; not used for state assignment
MCG5,KLF2,10,0.830891239643097,58.27222701185451,0.3387271219895273,Held-out Miller-IM genes; not used for state assignment
MCG5,KLF6,10,2.1958761692047117,91.88204267925636,-0.5744021683394167,Held-out Miller-IM genes; not used for state assignment
MCG5,NLRP3,10,0.6305524274706841,57.82481285882626,-0.3564902457616221,Held-out Miller-IM genes; not used for state assignment
MCG5,P2RY12,10,0.4316656030714512,43.66791034746748,0.2772049937869554,Held-out Miller-IM genes; not used for state assignment
MCG5,P2RY13,10,0.2996552750468254,32.510150805467894,-0.3227409470794998,Held-out Miller-IM genes; not used for state assignment
MCG5,PDK4,10,0.7122675627470016,57.83433490076601,0.6504793427702519,Held-out Miller-IM genes; not used for state assignment
MCG5,RHOB,10,1.1985363095998764,75.62596931761996,0.4359465717274303,Held-out Miller-IM genes; not used for state assignment
MCG5,SGK1,10,1.935590362548828,91.58115993159284,0.2672038879919847,Held-out Miller-IM genes; not used for state assignment
MCG5,SIGLEC8,10,0.3385002803057432,37.989581196139575,0.6629669969520268,Held-out Miller-IM genes; not used for state assignment
MCG5,USP53,10,0.676263003051281,57.46737018223275,-0.6029576986505266,Held-out Miller-IM genes; not used for state assignment
